id pop year region species cluster geno_sex sequenced rgb_r_mean rgb_r_mode rgb_g_mean rgb_g_mode rgb_b_mean rgb_b_mode luminance_mean luminance_mode isotope_d13C isotope_d15N isotope_d13C_resid isotope_d15N_resid isotope_CN_ratio egg_diameter_mean egg_diameter_sd egg_number egg_weight sex testis_length_mean testis_width_mean testis_weight std_length body_depth1 body_depth2 spine_dorsal1 spine_dorsal2 spine_dorsal3 spine_pelvic csize PC1 PC10 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 joint_sex ventral_rakers dorsal_rakers raker_long_count raker_short_count plate_count
BR33 BR 2014 CB cmn cbr F 1 185.111152803836 139 165.932791327913 131 139.499520533667 129 490.543464665416 399 NA NA NA NA NA NA NA NA NA NA NA NA NA 5.72 1.36 1.42 0.686264608 0.713 0.191676741 1.031205207 7.1400274082712 0.0329501475452567 0.00982345000465284 -0.021658686015958 0.00718713967819124 -0.00126191347316952 -0.0277577212765476 0.00427582133269807 0.00688436322848881 0.00789102876933644 -0.00152639459415505 F NA NA NA NA NA
BR36 BR 2014 CB cmn cbr M 1 183.574252136752 217 166.95177045177 180 143.386561355311 150 493.912583943834 547 NA NA NA NA NA NA NA NA NA NA NA NA NA 5.17 1.19 1.14 0.689094213 0.78 0.241551011 1.032203193 6.35339189534958 0.00462771391698641 -0.00246382464834382 -0.00431602089300163 0.0146808903904247 -0.0155347836197129 0.0290049620940827 -0.0430792540857711 0.0109259807737757 -0.0101418153184327 -0.0040989990140367 M NA NA NA NA NA
BR37 BR 2014 CB cmn cbr F 1 170.97434129902 133 159.68972120098 181 147.189670138889 154 477.853732638889 468 NA NA NA NA NA NA NA NA NA NA NA NA NA 5.7 1.4 1.36 0.483360311 0.552 0.164427251 0.901005275 7.12839249394118 0.0143494292074748 0.00828245905776003 0.00597999306560314 0.00502037323534364 0.00600324700899855 -0.0109032822025593 -0.00468962205779595 0.0123567029529796 0.00750956280905882 0.00729032989295517 F NA NA NA NA NA
CB1 CB 2014 CB cmn cmn NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
CB2 CB 2014 CB wht cmn NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
CL11 CL 2014 HA cmn cmn F 1 143.601859360519 158 146.612778035218 158 149.898922613531 158 440.113560009268 474 -17.13 12.68 1.19333333333333 0.774666666666667 3.24079040225829 0.95 0.0707106781186547 91 1.25 F NA NA NA 5.89 1.26 1.21 0.554941177 0.605 0.212090686 1.029517157 7.15223259354975 0.0326363329960333 -0.00272662917798743 0.0248659182220776 0.00501333018671429 -0.00139801048170814 -0.00977209425678202 0.00985730302447851 0.00208062250650739 0.00352953325333871 0.00248282728590428 F NA NA NA NA NA
CL12 CL 2014 HA wht cmn F 1 155.782510553471 128 151.519670497186 134 148.146400093809 157 455.448581144465 419 -17.48 12.4 0.843333333333333 0.494666666666667 3.25752274317705 NA NA NA NA NA NA NA NA 5.39 1.24 1.25 0.55621769 0.567 0.120347104 0.922329409 6.70966439169771 0.00567536449751959 -0.00428743250013608 0.00682324356548194 -0.0043786999630912 -0.000382426636135521 -0.00587261151065785 -0.0142268784139683 0.00735614788344812 0.00465324694994335 -0.00343689509609044 F NA NA NA NA NA
CL17 CL 2014 HA cmn cmn F 1 154.434314903846 156 148.036207932692 150 144.538611778846 145 447.009134615385 451 -18.58 12.35 -0.256666666666665 0.444666666666666 3.25017494751574 1.485 0.066874675492463 87 3.73 F NA NA NA 4.89 1.18 1.3 0.475758865 0.477 0.161728132 0.74248227 6.09165717715115 -0.000259775500928862 -0.000413147720670025 -0.0190219384314816 -0.00459417259482154 0.00554355188843243 0.0233335745147395 -0.0114745745195221 0.00117420703894879 0.00570990696588238 -0.00586226055179499 F NA NA NA NA NA
CL19 CL 2014 HA wht wht M 1 145.476666666667 161 142.643037037037 159 137.603555555556 156 425.723259259259 476 -19.05 13.24 -0.577777777777779 1.38 3.22377224199288 NA NA NA NA M 3.65 0.95 0.384 3.99 0.87 0.85 0.36875684 0.426 0.102275655 0.640750467 4.83413757234958 0.048037574400781 0.00154457139504346 0.00703110507170766 -0.00504175116675935 -0.0178478703779483 0.0203033049728606 -0.00957696439390031 0.0034057309285286 0.00560725712318407 -0.00869330338850516 M NA NA NA NA NA
CL21 CL 2014 HA wht wht M 1 153.42615945075 163 153.242048479753 160 154.148311615525 159 460.816519546028 482 -18.22 12.37 0.252222222222223 0.509999999999999 3.24922163492868 NA NA NA NA NA NA NA NA 3.84 0.89 0.89 0.332047281 0.451 0.070921986 0.614037825 4.71459011294619 0.0298971862994129 -0.00381270877384768 0.00361361871623879 -0.00178668872023664 -0.00956237863371035 0.00486310919414721 0.00626111701810338 -0.00391881152621695 -0.000877150469642812 -0.00552933300341996 M NA NA NA NA NA
