id pop sex pop_cluster cluster
PQ7_2012 PQ M PQ_cmn cmn
PQ8_2012 PQ M PQ_cmn cmn
PQ9_2012 PQ M PQ_cmn cmn
SF1_2012 SF M SF_wht wht
SF10_2012 SF M SF_wht wht
SF11_2012 SF M SF_wht wht
SF12_2012 SF M SF_wht wht
SF13_2012 SF M SF_wht wht
SF14_2012 SF M SF_wht wht
SF15_2012 SF M SF_wht wht
SF2_2012 SF M SF_wht wht
SF3_2012 SF M SF_wht wht
SF4_2012 SF M SF_wht wht
SF5_2012 SF M SF_wht wht
SF6_2012 SF M SF_wht wht
SF7_2012 SF M SF_wht wht
SF8_2012 SF M SF_wht wht
SF9_2012 SF M SF_wht wht
SR1_2012 SR M SR_wht wht
SR10_2012 SR M SR_wht wht
SR11_2012 SR M SR_wht wht
SR12_2012 SR M SR_wht wht
SR13_2012 SR M SR_wht wht
SR14_2012 SR M SR_wht wht
SR15_2012 SR M SR_wht wht
SR16_2012 SR M SR_wht wht
SR2_2012 SR M SR_wht wht
SR3_2012 SR M SR_wht wht
SR4_2012 SR M SR_wht wht
SR5_2012 SR M SR_wht wht
SR6_2012 SR M SR_wht wht
SR7_2012 SR M SR_wht wht
SR8_2012 SR M SR_wht wht
SR9_2012 SR M SR_wht wht
WR1_2012 WR M WR_cmn cmn
WR17_2012 WR M WR_cmn cmn
WR19_2012 WR M WR_cmn cmn
WR2_2012 WR M WR_cmn cmn
WR21_2012 WR M WR_cmn cmn
WR27_2012 WR M WR_cmn cmn
WR28_2012 WR M WR_cmn cmn
WR29_2012 WR M WR_cmn cmn
WR3_2012 WR M WR_cmn cmn
WR31_2012 WR M WR_cmn cmn
WR32_2012 WR M WR_cmn cmn
WR4_2012 WR M WR_cmn cmn
WR5_2012 WR M WR_cmn cmn
WR6_2012 WR M WR_cmn cmn
WR9_2012 WR M WR_cmn cmn
